Species,domesticated,allocare_binay,adult_mass_combined,Litter_nmass,Litter_wmass,maternal_mass,Adult_mass,Litter_size,Neonatal_mass,Reproductive_years,Gestation_duration,Wean_mass,Wean_age,Litters/year,IBIs,Allonursing,Provisioning_Male,Provisioning_others,Provisioning mothers,Energy_input (Isler Van Schaik),Provisioning_Male (Stockley & Hobson),Energy_input_binary,"Commul nesting, babysitting, retrieval",Carrying_Male,Carrying_others,Care_input (Isler & Van Schaik),MaleCare (Stockley & Hobson),Care_Input_binary,Protection,Protection_binary,notes
Rhombomys_opimus,0,NA,143,,,NA,143,5.76,4.75,3.70833333333333,27.6,NA,21.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Rhynchocyon_chrysopygus,0,1,535.2,,,535.2,540,1,80,4.89583333333333,42,180,14.7,4.5,81,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,
Rhynchonycteris_so,0,0,4.14,,,4.14,NA,0.99,0.98,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Romerolagus_diazi,0,NA,494.5,,,NA,494.5,2.18,30.62,NA,38.1,102.6,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Rousettus_amplexicaudatus,0,1,74.37,,,74.37,NA,0.99,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,
Rupicapra_rupicapra,0,1,27740.4599789969,,,27740.4599789969,26100,1,2490.47562883251,15.5096090713333,155.444593348244,NA,112,0.94,NA,0,0,0,NA,0,NA,0,1,0.4,0.25,1.65,NA,1,NA,NA,
Saccolaimus_peli,0,0,53.35,,,53.35,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Saccopteryx_leptura,0,0,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,
Saccostomus_campestris,0,1,42.2,,,42.2,47.38,6.99,2.6,3.45958333333333,20.85,NA,27.5,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,
Saguinus_bicolor,0,0,447.5,,,NA,447.5,1.5,NA,NA,159.9,NA,NA,NA,193.45,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Saguinus_fuscicollis,0,1,397.495,,,397.495,364,1.87666666666667,39.56,22.64125,147.766666666667,NA,90.3333333333333,1,329.25,0,0.75,0.75,NA,1.5,NA,1,0,0,0,0,NA,0,NA,NA,
Saguinus_geoffroyi,0,1,517,,,517,499.33,1.97,46.03,18.5,141.05,NA,64.95,NA,NA,0,0.75,0.75,NA,1.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
Saguinus_imperator,0,0,460.4,,,NA,460.4,2,41,NA,150,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,
Saguinus_inustus,0,0,803,,,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
Saguinus_labiatus,0,0,508.46,,,508.46,515.165,1.91666666666667,42.1666666666667,NA,144.95,NA,223.8,1.2,299.3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Saguinus_leucopus,0,0,490,,,NA,490,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Saguinus_midas,0,0,520.875,,,NA,520.875,1.9,40,11.2475,132.5,NA,70.1,1.36,200.75,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Saguinus_mystax,0,1,584,,,584,532.565,1.89,46.9,18.67,146.666666666667,NA,168.6,NA,350.4,0,0.75,0.75,NA,1.5,NA,1,0,0,0,0,NA,0,1,1,
Saguinus_nigricollis,0,1,463,,,463,447.5,1.82666666666667,43.5933333333333,17.87,140,175,80.7666666666667,NA,251.85,0,0.75,0.75,NA,1.5,0,1,0,0,0,0,NA,0,NA,NA,
Saguinus_oedipus,0,1,446.52,,,446.52,402.5,1.90666666666667,41.74,19.6030555555556,167.733333333333,103.75,125.233333333333,1,222.38,0,0.75,0.75,NA,1.5,NA,1,0,0,0,0,1,1,0,0,
Saguinus_tripartitus,0,0,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Saiga_tatarica,0,1,38250,,,NA,38250,1.65,3365.33,11.2375,148.2,14500,87.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,NA,1,0,0,
Saimiri_bolivensis,0,NA,711,,,NA,711,NA,102,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Saimiri_boliviensisboliviensis,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Saimiri_oerstedi,0,NA,580,,,NA,580,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Saimiri_sciureus,0,0,731.514106627945,,,731.514106627945,643.9,1,117.352924569982,22.3105817780451,167.256180313777,435.833333333333,142,1.33,405.15,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Saimiri_ustus,0,NA,799,,,NA,799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Saimiri_vanzolinii,0,NA,650,,,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
salis_concolor,0,0,6800,,,6800,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,
salis_larvatus,0,0,9730,,,9730,9641.3,1,488.5,16.0333333333333,165.966666666667,2000,254.8,0.67,540.2,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Salpingotus_crassicauda,0,NA,NA,,,NA,NA,2.57,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sarcophilus_harrisii,0,0,8202.25,,,8202.25,NA,2.88,0.02,NA,NA,200,NA,1,365,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Scalopus_aquaticus,0,1,74.6,,,NA,74.6,3.61,5.36,2.14416666666667,40.5,NA,35.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,
Scapanus_latimanus,0,NA,52,,,NA,52,3.58,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Scapanus_orarius,0,0,76.9,,,NA,76.9,3.25,NA,NA,30,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Scapanus_townsendii,0,0,141,,,141,118.8,2.86,5,NA,32.55,65,30,1,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Sciurillus_pusillus,0,NA,39,,,NA,39,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sciurus_aberti,0,NA,702.5,,,NA,702.5,3.52,12,NA,42.9,355,75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sciurus_alleni,0,1,461,,,NA,461,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,
Sciurus_arizonensis,0,NA,760.5,,,NA,760.5,3.05,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sciurus_aureogaster,0,0,595,,,NA,595,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Sciurus_carolinensis,0,1,529.2,,,529.2,540.33,3.22,15.16,22.645,43.45,182.5,64.75,1.915,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0.5,1,
Sciurus_gratensis,0,1,374,,,NA,374,1.93,9.5,NA,NA,NA,60,1.95,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,
Sciurus_griseus,0,1,751.67,,,NA,751.67,3.7,NA,9.125,43.2,NA,60,1.11,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,
Sciurus_niger,0,1,786,,,786,803.7,2.75,15.47,15.03,45.05,NA,75,1.82,NA,0,0,0,NA,0,0,0,1,0.5,0.4,1.9,NA,1,0.5,1,
Sciurus_vulgaris,0,0,332.418702144222,,,332.418702144222,324.75,4.55,9.35556620735125,13.0222743525848,37.8612468096148,NA,67.25,2.22,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,
Sciurus_yucatanensis,0,0,225,,,NA,225,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Scotinomys_tegui,0,0,12,,,NA,12,2.79,1.35,NA,30.3,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
