Species,domesticated,allocare_binay,adult_mass_combined,Litter_nmass,Litter_wmass,maternal_mass,Adult_mass,Litter_size,Neonatal_mass,Reproductive_years,Gestation_duration,Wean_mass,Wean_age,Litters/year,IBIs,Allonursing,Provisioning_Male,Provisioning_others,Provisioning mothers,Energy_input (Isler Van Schaik),Provisioning_Male (Stockley & Hobson),Energy_input_binary,"Commul nesting, babysitting, retrieval",Carrying_Male,Carrying_others,Care_input (Isler & Van Schaik),MaleCare (Stockley & Hobson),Care_Input_binary,Protection,Protection_binary,notes
Abrocoma_bennetti,0,0,307,,,NA,307,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Abrocoma_cinerea,0,0,250,,,NA,250,1.8,12.25,NA,113.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,
Acinonyx_jubatus,0,0,46788.96,,,46788.96,58750,3.16,422.81,17.63125,96.25,1940,117.05,0.65,547.5,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,
Acomys_cahirinus,0,0,36.08,,,36.08,45.25,2.45,5.63,5.26083333333334,37.45,12.445,26.15,5.55,34,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,
Acomys_percivali,0,NA,NA,,,NA,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acomys_russatus,0,NA,54.43,,,NA,54.43,2.5,7,4.75,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acomys_wilsoni,0,0,20,,,NA,20,NA,NA,NA,38.1,10,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Addax_somaculatus,0,1,107000,,,107000,182375,1,5480,24.6120833333333,271.1,NA,188.5,0.99,NA,0,0,0,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,
Aepyceros_melampus,0,0,47000,,,47000,41480,1,5093,20.2308333333333,192.75,15900,174.45,0.95,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,
Aepyprymnus_rufescens,0,1,2810.31,,,2810.31,NA,1.03,NA,NA,NA,NA,NA,3,117,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Aethomys_chrysophilus,0,0,78.55,,,NA,78.55,3.6,4.45,NA,24.9,31,29.4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_hindei,0,NA,107,,,NA,107,1.68,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_kaiseri,0,NA,198,,,NA,198,2.8,6.1,NA,27,47.57,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_maquensis,0,NA,47.56,,,NA,47.56,3.75,2.5,NA,NA,12.5,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Agouti_paca,0,1,3627,,,3627,9000,1.26,682.4,15.3675,115.55,NA,67.65,1.5,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,
Ailuropoda_melanoleuca,0,1,102749.995,,,102749.995,111600,1.58,106.84,29.1808333333333,108.15,18499.995,329.25,0.7,638.75,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0.5,1,
Ailurus_fulgens,0,0,5285.04,,,5285.04,4325,1.86,112.105,16.6820833333333,131.5,1140,127.5,1,365,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,
Akodon_azarae,0,1,25.27,,,25.27,27.33,4.32,2.2,NA,23.7,NA,14.7,1.125,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Akodon_boliviensis,0,NA,25.95,,,NA,25.95,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_cursor,0,0,39.7,,,NA,39.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Akodon_dolores,0,0,50,,,NA,50,3.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Akodon_longipilis,0,NA,37.55,,,NA,37.55,3.7,3.3,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_molie,0,NA,33,,,NA,33,3.78,3,NA,23.1,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_olivaceus,0,NA,28.03,,,NA,28.03,5.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_urichi,0,NA,50,,,NA,50,5,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_varius,0,0,37.3,,,NA,37.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Alcelaphus_buselaphus,0,1,114750,,,114750,150000,1,10166.67,18.7908333333334,232.5,NA,202.5,NA,NA,0.1,0,0,NA,0.1,NA,1,1,0,0.55,1.55,NA,1,NA,NA,
Alces_alces,0,0,272160,,,272160,351000,1.29,13018.18,20.7258333333333,234.75,94000,132,0.77,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Allactaga_elater,0,1,58.67,,,NA,58.67,4.55,NA,NA,NA,NA,32.7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.52,1.52,NA,1,NA,NA,
Allactaga_euphratica,0,1,35.9,,,NA,35.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Allactaga_sibirica,0,NA,117.5,,,NA,117.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allactaga_tetradactyla,0,NA,52,,,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allenopithecus_nigroviridis,0,1,3240.835,,,NA,3240.835,1,221,23.6,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Allocebus_trichotis,0,NA,84,,,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allocricetulus_eversmanni,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,
Alopex_lagopus,0,1,3415,,,3415,4500,8.12,71.04,15.4041666666667,52.5,NA,56.55,0.92,NA,0.1,1,1,NA,2.1,NA,1,NA,NA,NA,NA,0,0,NA,NA,
Alouatta_belzebul,0,NA,5520,,,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alouatta_caraya,0,1,4240,,,4240,4841.5,1,187.5,28.69,186.966666666667,NA,258.8,0.98,NA,0.1,0,0,NA,0.1,NA,1,NA,NA,NA,NA,0,0,NA,NA,
Alouatta_fusca,0,1,4350,,,NA,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Alouatta_guariba,0,1,4550,,,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,1,0,0,1,NA,1,NA,NA,
Alouatta_palliata,0,1,5807.46624619208,,,5807.46624619208,5491.07,1.03,382.738759031802,18.2845395551934,186.202178416572,1084.58333333333,385.533333333333,0.6,645.135,0.1,0,0,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
Alouatta_pigra,0,1,7172.06,,,7172.06,11600,1.005,480,NA,186.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Alouatta_seniculus,0,1,5804.155,,,5804.155,5427.645,1.20666666666667,283.806666666667,20.115,191.033333333333,NA,373.766666666667,NA,505.525,0,0,0,NA,0,NA,0,NA,NA,NA,NA,1,1,0.5,1,
Alouatta_villosa,0,NA,6430,,,NA,6430,NA,480,15.5,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aloutta_palliata,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,
Aloutta_seniculus,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Alticola_argentatus,0,NA,37.7,,,NA,37.7,3.6,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alticola_roylei,0,NA,35,,,NA,35,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alticola_strelzowi,0,0,50,,,NA,50,7.7,3,NA,20.1,15,17.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Amblonyx_cinereus,0,1,3000,,,NA,3000,1.42,57,NA,62.1,NA,80.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Amblysomus_hottentotus,0,1,64.8,,,NA,64.8,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,1,NA,NA,
Ammodorcas_clarkei,0,NA,28500,,,NA,28500,1,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ammospermophilus_harrisii,0,1,122,,,122,126,6.75,3.8,9.73,29.05,45,49.85,1,NA,0,0,0,NA,0,NA,0,0,0,0,0,1,1,NA,NA,
Ammospermophilus_interpres,0,NA,110.2,,,NA,110.2,9.5,NA,NA,NA,27.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ammospermophilus_leucurus,0,0,106,,,106,97.5,8.61,3.36,7.55666666666667,30.1,60,65.5,1.33,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,
Ammospermophilus_nelsoni,0,NA,154.5,,,NA,154.5,8,4.88,NA,26.1,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ammotragus_lervia,0,1,88804.1487695991,,,88804.1487695991,55500,1.185,3771.2507889786,20.1088280828925,152.945369257031,NA,121,2,NA,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0.5,1,
Anomalurus_beecrofti,0,NA,389,,,NA,389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Anomalurus_derbianus,0,NA,770,,,NA,770,1.17,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Anomalurus_pelii,0,NA,1650,,,NA,1650,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Antechinomys_laniger,0,1,25.57,,,25.57,NA,5.99,NA,NA,NA,NA,NA,1.5,183,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,
Antechinus_flavipes,0,0,44.33,,,44.33,NA,8.54,NA,NA,NA,NA,NA,1,365,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Antechinus_minimus,0,0,52.56,,,52.56,NA,7.19,0.03,NA,NA,NA,NA,1,365,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,
Antechinus_stuartii,0,0,29.01,,,29.01,NA,6.89,0.01,NA,NA,16,NA,1,365,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Antechinus_swainsonii,0,0,58.69,,,58.69,NA,8.24,NA,NA,NA,8.83,NA,1,365,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Antidorcas_marsupialis,0,0,36518,,,36518,30000,1,3910,18.68375,169.8,NA,143.1,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,
Antilocapra_america,0,1,46750,,,46750,45375,1.85,3246.36,12.4779166666667,247.95,8900,112.5,1,NA,0.1,0,0,NA,0.1,NA,1,1,0,0,1,NA,1,NA,NA,
Antilope_cervicapra,0,0,31897.2583514179,,,31897.2583514179,37500,1,3772.14089890134,21.763783453903,170.703020477024,NA,61.7,1.89,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,
Aonyx_capensis,0,0,19110,,,19110,11800,2.56,1050,13.135,63,3360,56.75,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,
Aonyx_congicus,0,NA,24000,,,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aotus_azarae,0,0,929.57,,,929.57,1230,1,80,NA,NA,NA,NA,NA,182.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Aotus_azarai,0,1,1230,,,1230,1230,1,NA,16.2,126.5,NA,230.35,1,NA,0,0.75,0.1,NA,0.85,NA,1,0,0,0,0,NA,0,NA,NA,
Aotus_lemurinus,0,1,716,,,716,874,1,98,NA,132.95,NA,75,1,NA,0,0.75,0.1,NA,0.85,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
Aotus_ncymaae,0,1,791.03,,,791.03,NA,1.02,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,NA,1,NA,NA,
Aotus_trivirgatus,0,1,922.7,,,922.7,784.78,1.06,94.89,22.7483333333333,135.366666666667,364.996666666667,81.7333333333333,NA,263.25,0,0.75,0.1,NA,0.85,NA,1,0,0,0,0,0,0,NA,NA,
Aplodontia_rufa,0,NA,687,,,NA,687,3.14,23.58,4.04583333333333,29.4,392.52,52.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_agrarius,0,NA,21.5,,,NA,21.5,5.72,1.9,3.79166666666667,21.3,NA,26.4,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_argenteus,0,NA,NA,,,NA,NA,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_flavicollis,0,NA,29.35,,,NA,29.35,5.54,2.4,3.86083333333333,25.5,8.7,21.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_mystacinus,0,NA,45.6,,,NA,45.6,2.84,3,NA,23.1,NA,26.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_peninsulae,0,1,32.9,,,NA,32.9,4.67,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
Apodemus_sylvaticus,0,0,21.9,,,21.9,23.38,5.17,1.5,3.805,23.1,NA,20.4,3.79,41.28,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Apodemus_uralensis,0,0,NA,,,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
Arborimus_albipes,0,1,23,,,NA,23,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,1,NA,NA,
Arborimus_longicaudus,0,NA,23,,,NA,23,2.57,2.57,NA,34.5,21,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Arborimus_pomo,0,NA,36,,,NA,36,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Arctictis_binturong,0,1,12999.99,,,12999.99,12250,2.565,316.865,23.3883333333333,82.2,2100,77.7,2,317.6,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,1,0,0,
Arctocebus_calabarensis,0,NA,264.240875732195,,,264.240875732195,310.07,1,29.3853184431335,12.0915244336466,134.025498704595,160,107.85,1.5,138.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Arctocephalus_australis,0,0,48500,,,48500,45000,1,4250,27.3,234.25,NA,408.35,1,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Arctocephalus_forsteri,0,NA,55000,,,NA,55000,1,3833.33,NA,232.5,NA,330,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Arctocephalus_galapagoensis,0,1,27400,,,27400,27000,1,3533.33,18.5,211.5,15000,502.15,0.5,NA,0.1,0,0,NA,0.1,0,1,NA,NA,NA,NA,NA,NA,0,0,
Arctocephalus_gazella,0,0,38200,,,38200,40500,1,5933.33,17.1666666666667,263.5,15800,118,1,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,
Arctocephalus_pusillus,0,0,78000,,,78000,77666.67,1,5955.56,23.0279166666666,277.4,26150,350,1,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Arctocephalus_pusillusdoriferus,0,0,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,
Arctocephalus_tropicalis,0,1,50000,,,50000,50000,1,4420,NA,355.45,NA,237.45,1,NA,0,0,0,NA,0,NA,0,0.5,0,0,0.5,NA,1,NA,NA,
Arctogalidia_trivirgata,0,1,2250,,,NA,2250,2.5,NA,13.0833333333333,45,NA,60,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,NA,1,NA,NA,
Arctonyx_collaris,0,0,10490,,,10490,10500,3.5,58,NA,43.5,NA,111.3,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,
Artibeus_cinereus,0,0,12.7,,,12.7,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Artibeus_jamaicensis,0,0,43.63,,,43.63,NA,1,10.57,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Arvicanthis_niloticus,0,0,89,,,89,64.5,5.03,4.15,6.58,21.95,21.67,21.75,3.5,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,
Arvicola_sapidus,0,NA,187.5,,,NA,187.5,5,6,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Arvicola_terrestris,0,0,272,,,272,120,5.08,5.86,3.59458333333334,21.15,42,14.65,3.22,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,
Atelerix_albiventris,1,0,207,,,207,334,3.81,7.92,11.22,36.1,NA,42.75,1,NA,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,
Atelerix_algirus,0,0,745,,,NA,745,5,NA,NA,39,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Atelerix_frontalis,0,0,309,,,NA,309,5.4,10.49,NA,36.6,NA,35.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Ateles_belzebuth,0,0,8484,,,8484,6625,1,NA,NA,178.2,NA,NA,NA,1095,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,
Ateles_fusciceps,0,0,9113.97,,,9113.97,8460.9,1.00333333333333,367.45,25.0966666666667,226.033333333333,NA,483,0.5,836.455,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Ateles_geoffroyi,0,0,7509.45535637086,,,7509.45535637086,6777.9,1.0025,474.257958885077,36.1282224221669,225.129910495006,3089.35333333333,772.033333333333,0.32,1053.325,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,
Ateles_paniscus,0,0,8070,,,8070,8099.4,1,457.085,34.5,226.566666666667,2895,939.25,0.5,1460,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Atelocynus_microtis,0,1,9500,,,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,
Atherurus_africanus,0,0,3180,,,3180,3180,1.5,148.13,19.1,105,NA,60,2.5,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,
Atherurus_macrourus,0,NA,2000,,,NA,2000,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Atilax_paludinosus,0,0,3600.16,,,3600.16,3300,2.21,100.115,NA,74.7,590.92,42.9,2,182.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,
Auliscomys_micropus,0,NA,72.6,,,NA,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Avahi_laniger,0,0,1106,,,1106,1207.215,1,NA,NA,168.333333333333,NA,154.3,1,365,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Axis_axis,0,1,69226.7267488489,,,69226.7267488489,55000,1.015,3773.59691735168,19.3207545626,237.187760694944,NA,121,NA,NA,0.1,0,0,NA,0.1,NA,1,1,0,0,1,NA,1,NA,NA,
Axis_porcinus,0,0,30000,,,30000,33500,1.01,2365,20.6183333333334,227.75,NA,181.5,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,
Babyrousa_babyrussa,0,0,78000,,,78000,100000,1.4,715,21.95,155.65,NA,211.75,2,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Baiomys_taylori,0,0,7.43,,,7.43,7.83,2.595,1.155,3.42083333333333,22.2,3.59,20.4,10,23,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Balae_mysticetus,0,NA,80000000,,,NA,80000000,1,NA,82.5,371.1,NA,337.5,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Balaenoptera_acutorostrata,0,1,16266666.67,,,NA,16266666.67,1.01,NA,38.7725,304.5,NA,150,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Balaenoptera_borealis,0,0,14766666.67,,,NA,14766666.67,1.01,650000,67.5708333333333,342,NA,226.8,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Balaenoptera_edeni,0,0,20000000,,,NA,20000000,1,NA,63.2291666666667,370.5,NA,270,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Balaenoptera_musculus,0,1,149000000,,,NA,149000000,1.01,2250000,103.971666666667,321.3,19075000,212.4,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,
Balaenoptera_physalus,0,0,66800000,,,NA,66800000,1.01,1850000,106.525,327.9,NA,195,0.36,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,
Balantiopteryx_plicata,0,0,6.57,,,6.57,NA,0.99,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Bandicota_bengalensis,0,NA,166.67,,,NA,166.67,7.96,4.43,NA,19.2,22.9,29.1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bandicota_indica,0,NA,545,,,NA,545,7.44,9.99,NA,20.7,41,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bassaricyon_gabbii,0,0,1242.5,,,NA,1242.5,1,51,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Bassariscus_astutus,0,0,997.685,,,997.685,975.5,2.85,28.16,16.1391666666667,53.1,239.025,72.4,1,365,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Bassariscus_sumichrasti,0,NA,900,,,NA,900,1.5,NA,NA,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bathyergus_janetta,0,NA,332,,,NA,332,3.5,15.4,NA,NA,NA,27.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bathyergus_suillus,0,0,723,,,723,635,3.13,34,NA,67.65,NA,21,1.5,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,
Bdeogale_crassicauda,0,NA,1570,,,NA,1570,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Beamys_hindei,0,0,101.67,,,NA,101.67,4.26,3.2,NA,24.9,59.2,41.4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Berardius_arnuxii,0,0,NA,,,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Berardius_bairdii,0,1,8200000,,,NA,8200000,NA,NA,73.6425,440.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Bettongia_gaimardi,0,0,1667.55,,,1667.55,NA,1,0.3,NA,NA,516.43,NA,NA,106.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Bettongia_lesueur,0,0,1447.27,,,1447.27,NA,1,0.31,NA,NA,303.31,NA,3,119.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Bettongia_penicillata,0,0,1184.35,,,1184.35,NA,1,0.28,NA,NA,256.9,NA,3,102,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
